45.59 1:102 
45.009999 1:103 
43.68 1:104 
44.00 1:105 
44.28 1:106 
43.70 1:109 
44.119998 1:110 
44.169999 1:111 
45.120001 1:112 
44.339997 1:113 
44.959998 1:116 
44.909998 1:117 
44.179999 1:118 
43.96 1:119 
44.149999 1:120 
43.809998 1:123 
44.489999 1:124 
44.679998 1:125 
44.729999 1:126 
45.169998 1:127 
45.32 1:130 
44.619998 1:131 
44.949998 1:132 
45.009999 1:133 
45.759998 1:134 
45.569999 1:137 
45.410001 1:138 
45.739998 1:139 
45.579999 1:140 
45.169998 1:141 
45.759998 1:144 
44.600001 1:145 
43.230001 1:146 
43.210001 1:147 
43.15 1:148 
43.19 1:151 
43.339999 1:152 
43.309998 1:153 
43.099999 1:154 
42.960001 1:155 
42.769998 1:158 
41.729999 1:159 
41.56 1:160 
41.590001 1:161 
42.88 1:165 
42.60 1:166 
41.699999 1:167 
40.939999 1:168 
40.220001 1:169 
41.600001 1:172 
43.97 1:173 
43.47 1:174 
43.18 1:175 
43.16 1:176 
42.989998 1:179 
43.240001 1:180 
43.049998 1:181 
43.299998 1:182 
43.299998 1:183 
43.490001 1:186 
43.69 1:187 
43.44 1:188 
43.42 1:189 
43.319998 1:190 
43.259998 1:193 
43.44 1:194 
43.240001 1:195 
42.62 1:196 
42.680001 1:200 
42.63 1:201 
42.690001 1:202 
42.35 1:203 
41.189999 1:204 
41.129998 1:207 
40.349999 1:208 
40.20 1:209 
40.119999 1:210 
40.230001 1:211 
38.369998 1:214 
38.699999 1:215 
38.479999 1:216 
38.28 1:217 
37.68 1:218 
37.659999 1:221 
37.240001 1:222 
37.329999 1:223 
37.790001 1:224 
38.320001 1:225 
38.52 1:228 
39.400001 1:229 
39.719998 1:230 
39.439998 1:231 
39.140001 1:232 
39.189998 1:235 
38.840001 1:236 
36.660001 1:237 
36.729998 1:238 
36.950001 1:239 
36.789999 1:242 
37.029998 1:243 
36.709998 1:244 
35.969999 1:245 
35.639998 1:246 
35.419999 1:249 
35.050001 1:250 
35.24 1:251 
35.419999 1:252 
36.509999 1:253 
36.809999 1:256 
36.709998 1:257 
36.62 1:258 
36.159998 1:259 
36.169998 1:260 
36.009999 1:264 
35.719999 1:265 
36.169998 1:266 
36.509999 1:267 
36.559999 1:270 
36.680001 1:271 
36.35 1:272 
36.09 1:273 
36.439998 1:274 
36.279999 1:277 
35.419999 1:278 
35.989999 1:279 
35.79 1:280 
36.33 1:281 
36.299999 1:284 
36.120001 1:285 
35.870001 1:286 
36.019999 1:287 
35.179999 1:288 
35.409999 1:291 
34.879999 1:292 
34.40 1:293 
33.819999 1:294 
34.17 1:295 
33.57 1:298 
34.500001 1:299 
34.95 1:300 
34.200001 1:301 
33.519999 1:305 
33.249999 1:306 
34.099999 1:307 
34.649999 1:308 
34.73 1:309 
34.98 1:312 
34.70 1:313 
34.279998 1:314 
33.749998 1:315 
34.079999 1:316 
34.39 1:319 
33.479998 1:320 
33.62 1:321 
33.979998 1:322 
34.15 1:323 
30.59 1:326 
29.989999 1:327 
29.819999 1:328 
30.519999 1:329 
30.29 1:333 
30.219999 1:334 
29.809999 1:335 
30.57 1:336 
30.279999 1:337 
30.269999 1:340 
30.32 1:341 
31.11 1:342 
31.41 1:343 
31.789998 1:344 
31.889999 1:348 
32.199999 1:349 
32.649998 1:350 
32.199999 1:351 
32.099998 1:355 
32.330001 1:356 
31.750001 1:357 
31.18 1:358 
30.84 1:361 
31.279998 1:362 
32.22 1:363 
31.839998 1:364 
31.770001 1:365 
32.459999 1:368 
32.959999 1:369 
33.249999 1:370 
33.229999 1:371 
33.829999 1:372 
33.960001 1:375 
33.739998 1:376 
34.089999 1:377 
34.99 1:378 
35.310001 1:379 
35.149999 1:382 
35.25 1:384 
35.21 1:385 
35.310001 1:386 
35.639998 1:389 
35.830001 1:390 
35.840001 1:391 
35.479999 1:392 
35.709999 1:393 
35.310001 1:396 
36.499999 1:397 
37.339999 1:398 
36.719998 1:399 
36.769998 1:400 
37.019998 1:403 
36.92 1:404 
36.999998 1:405 
37.089999 1:406 
37.059999 1:407 
36.439998 1:410 
36.479998 1:411 
36.219998 1:412 
35.989999 1:413 
36.59 1:414 
36.950001 1:417 
37.15 1:418 
36.06 1:419 
36.63 1:420 
36.150001 1:421 
36.469998 1:424 
36.459998 1:425 
36.06 1:426 
35.739999 1:427 
36.08 1:428 
36.36 1:431 
36.229999 1:432 
35.580001 1:433 
35.169999 1:434 
34.869999 1:435 
34.39 1:438 
33.87 1:439 
33.459998 1:440 
33.390001 1:441 
33.549999 1:442 
34.470001 1:445 
34.220001 1:446 
34.619999 1:447 
34.909999 1:448 
35.51 1:449 
35.52 1:452 
36.429998 1:453 
36.89 1:454 
