ABT
ABBV
AET
A
ALXN
AGN
ABC
AMGN
ANTM
BCR
BAX
BDX
BIIB
BSX
BMY
CAH
CELG
CNC
CERN
CI
DVA
XRAY
EW
ENDP
ESRX
GILD
HCA
HSIC
HOLX
HUM
ILMN
ISRG
JNJ
LH
LLY
MNK
MCK
MDT
MRK
MYL
PDCO
PKI
PRGO
PFE
DGX
REGN
STJ
SYK
TMO
UNH
UHS
VAR
VRTX
WAT
ZBH
ZTS
