APD
ALB
AA
AVY
BLL
CF
DOW
DD
EMN
ECL
FMC
FCX
IP
IFF
LYB
MLM
MON
NEM
NUE
OI
PPG
PX
SEE
SHW
MOS
VMC
WRK
