AMG
AFL
ALL
AXP
AIG
AMT
AMP
AON
AIV
AJG
AIZ
AVB
BAC
BBT
BRK-B
BLK
HRB
BXP
COF
CBG
SCHW
CB
CINF
C
CFG
CME
CMA
CCI
DLR
DFS
ETFC
EFX
EQR
ESS
EXR
FRT
FITB
BEN
GGP
GS
HIG
HCP
HST
HBAN
ICE
IVZ
JPM
KEY
KIM
LM
LUK
LNC
L
MTB
MAC
MMC
MET
MCO
MS
NDAQ
NAVI
NTRS
PBCT
PNC
PFG
PGR
PLD
PRU
PSA
O
RF
SPGI
SPG
SLG
STT
STI
SYF
TROW
BK
TRV
TMK
USB
UDR
UNM
VTR
VNO
WFC
HCN
WY
WLTW
XL
ZION
