ACN
ATVI
ADBE
AKAM
ADS
GOOGL
GOOG
ADI
AAPL
AMAT
ADSK
ADP
AVGO
CA
CSCO
CTXS
CTSH
CSRA
EBAY
EA
EMC
EQIX
FFIV
FB
FIS
FSLR
FISV
GPN
HRS
HPE
HPQ
INTC
IBM
INTU
JNPR
KLAC
LRCX
LLTC
MA
MCHP
MU
MSFT
MSI
NTAP
NFLX
NVDA
ORCL
PAYX
PYPL
QRVO
QCOM
RHT
CRM
STX
SWKS
SYMC
TEL
TDC
TXN
TSS
VRSN
V
WDC
WU
XRX
XLNX
YHOO
