MMM
AYI
ALK
ALLE
AAL
AME
APH
BA
CHRW
CAT
CTAS
GLW
CSX
CMI
DHR
DE
DAL
DOV
DNB
ETN
EMR
EXPD
FAST
FDX
FLIR
FLS
FLR
FTV
FBHS
GD
GE
GWW
HON
ITW
IR
IRM
JBHT
JEC
KSU
LLL
LEG
LMT
MAS
NLSN
NSC
NOC
PCAR
PH
PNR
PBI
PWR
RTN
RSG
RHI
ROK
COL
ROP
R
LUV
SRCL
TXT
TDG
TYC
UNP
UAL
UPS
URI
UTX
VRSK
WM
XYL
