1 1:61.82 2:62.299999 3:61.720001 4:62.169998 
1 1:61.18 2:61.990002 3:61.130001 4:61.970001 
1 1:61.299999 2:61.580002 3:60.84 4:61.009998 
0 1:60.009998 2:61.380001 3:59.799999 4:61.369999 
1 1:60.43 2:60.459999 3:59.799999 4:59.950001 
0 1:59.700001 2:60.59 3:59.560001 4:60.220001 
1 1:59.080002 2:59.470001 3:58.799999 4:59.25 
1 1:60.110001 2:60.150002 3:58.939999 4:59.200001 
0 1:60.860001 2:61.18 3:60.220001 4:60.259998 
0 1:60.650002 2:61.41 3:60.52 4:61.09 
1 1:60.34 2:61.02 3:60.209999 4:60.610001 
1 1:60.299999 2:60.529999 3:60.130001 4:60.529999 
1 1:61.009998 2:61.099998 3:60.25 4:60.400002 
0 1:60.98 2:61.259998 3:60.810001 4:61.119999 
1 1:60.50 2:60.970001 3:60.419998 4:60.860001 
1 1:60.779999 2:61.139999 3:60.299999 4:60.349998 
0 1:60.41 2:60.950001 3:59.970001 4:60.639999 
1 1:58.939999 2:59.66 3:58.810001 4:59.650002 
1 1:58.330002 2:59.490002 3:58.32 4:58.869999 
1 1:59.02 2:59.080002 3:57.279999 4:58.119999 
0 1:58.23 2:59.119999 3:58.009998 4:59.02 
1 1:60.48 2:60.490002 3:57.630001 4:58.700001 
0 1:60.00 2:60.59 3:59.200001 4:60.169998 
0 1:60.549999 2:60.779999 3:60.150002 4:60.470001 
1 1:59.779999 2:60.52 3:59.779999 4:60.419998 
1 1:58.650002 2:59.279999 3:58.52 4:58.709999 
0 1:59.529999 2:59.639999 3:59.110001 4:59.209999 
0 1:59.82 2:59.93 3:59.299999 4:59.43 
0 1:59.970001 2:60.02 3:59.25 4:59.799999 
0 1:60.16 2:60.419998 3:59.919998 4:59.919998 
1 1:60.009998 2:60.52 3:59.580002 4:59.869999 
0 1:60.610001 2:60.830002 3:60.09 4:60.099998 
0 1:60.810001 2:61.200001 3:60.470001 4:60.630001 
0 1:60.849998 2:61.369999 3:60.799999 4:60.990002 
0 1:59.939999 2:61.00 3:59.93 4:61.00 
1 1:60.279999 2:60.450001 3:59.490002 4:59.66 
1 1:57.50 2:57.52 3:56.66 4:57.25 
0 1:57.470001 2:57.84 3:57.400002 4:57.529999 
0 1:57.529999 2:57.950001 3:57.41 4:57.66 
1 1:57.360001 2:57.459999 3:56.869999 4:57.220001 
0 1:57.119999 2:57.740002 3:57.119999 4:57.419998 
1 1:56.700001 2:57.299999 3:56.32 4:56.919998 
