0 1:42.00 2:42.009998 3:41.720001 4:41.900002 
0 1:41.50 2:42.220001 3:41.290001 4:42.00 
1 1:41.07 2:41.209999 3:40.849998 4:40.98 
0 1:40.540001 2:41.290001 3:40.509998 4:41.290001 
1 1:40.75 2:40.77 3:40.419998 4:40.57 
0 1:40.34 2:40.689999 3:40.310001 4:40.619999 
1 1:40.299999 2:40.490002 3:40.189999 4:40.360001 
1 1:40.310001 2:40.389999 3:39.880001 4:40.169998 
0 1:41.00 2:41.200001 3:40.349998 4:40.349998 
0 1:41.52 2:41.52 3:41.139999 4:41.150002 
0 1:41.509998 2:41.790001 3:41.27 4:41.75 
1 1:41.389999 2:41.580002 3:41.240002 4:41.529999 
1 1:41.220001 2:41.310001 3:41.029999 4:41.119999 
0 1:41.450001 2:41.700001 3:41.240002 4:41.369999 
1 1:40.91 2:41.360001 3:40.73 4:41.360001 
1 1:41.029999 2:41.200001 3:40.900002 4:40.91 
0 1:41.279999 2:41.299999 3:41.00 4:41.119999 
0 1:41.400002 2:41.650002 3:41.16 4:41.259998 
0 1:41.18 2:41.52 3:41.169998 4:41.439999 
1 1:41.130001 2:41.419998 3:40.849998 4:41.169998 
1 1:40.950001 2:41.130001 3:40.630001 4:41.029999 
1 1:41.860001 2:42.259998 3:40.849998 4:40.939999 
0 1:41.759998 2:42.32 3:41.700001 4:42.27 
0 1:42.369999 2:42.98 3:42.369999 4:42.880001 
1 1:42.040001 2:42.50 3:42.040001 4:42.459999 
1 1:41.849998 2:42.040001 3:41.689999 4:41.689999 
0 1:42.220001 2:42.220001 3:41.959999 4:42.029999 
0 1:42.099998 2:42.34 3:42.009998 4:42.049999 
0 1:42.400002 2:42.43 3:41.91 4:42.119999 
0 1:42.119999 2:42.41 3:42.119999 4:42.400002 
1 1:42.259998 2:42.470001 3:42.099998 4:42.23 
1 1:42.630001 2:42.650002 3:41.900002 4:42.119999 
0 1:43.00 2:43.029999 3:42.41 4:42.439999 
0 1:42.639999 2:42.880001 3:42.43 4:42.540001 
0 1:42.32 2:42.77 3:42.25 4:42.560001 
1 1:41.849998 2:42.169998 3:41.68 4:42.130001 
1 1:41.970001 2:42.110001 3:41.889999 4:41.93 
0 1:41.93 2:42.119999 3:41.810001 4:42.049999 
1 1:41.810001 2:42.00 3:41.73 4:41.970001 
1 1:41.73 2:41.860001 3:41.57 4:41.599998 
0 1:41.849998 2:41.91 3:41.619999 4:41.669998 
0 1:41.650002 2:41.889999 3:41.509998 4:41.759998 
