0 1:34.290001 2:34.669998 3:34.23 4:34.529999 
1 1:34.09 2:34.279999 3:33.860001 4:34.27 
1 1:33.91 2:34.200001 3:33.75 4:34.049999 
1 1:33.540001 2:33.900002 3:33.419998 4:33.860001 
1 1:33.34 2:33.59 3:33.330002 4:33.439999 
1 1:33.68 2:33.700001 3:33.279999 4:33.32 
0 1:33.630001 2:33.700001 3:33.43 4:33.540001 
0 1:33.279999 2:33.689999 3:33.279999 4:33.630001 
1 1:33.599998 2:33.700001 3:33.27 4:33.299999 
0 1:33.459999 2:33.59 3:33.290001 4:33.580002 
1 1:33.27 2:33.529999 3:33.27 4:33.419998 
0 1:33.41 2:33.490002 3:33.34 4:33.450001 
1 1:33.259998 2:33.450001 3:33.189999 4:33.400002 
1 1:33.029999 2:33.41 3:32.93 4:33.259998 
1 1:32.939999 2:33.09 3:32.77 4:32.939999 
0 1:32.919998 2:33.23 3:32.869999 4:32.939999 
1 1:32.650002 2:33.029999 3:32.540001 4:32.93 
1 1:33.150002 2:33.27 3:32.41 4:32.560001 
0 1:33.369999 2:33.509998 3:33.240002 4:33.34 
0 1:33.290001 2:33.57 3:33.130001 4:33.400002 
1 1:32.91 2:33.27 3:32.860001 4:33.209999 
1 1:32.209999 2:33.029999 3:32.130001 4:33.00 
1 1:31.90 2:32.200001 3:31.620001 4:32.080002 
1 1:31.440001 2:32.049999 3:31.32 4:31.98 
1 1:31.469999 2:31.50 3:31.219999 4:31.450001 
1 1:31.35 2:31.370001 3:30.99 4:31.110001 
0 1:31.24 2:31.530001 3:31.18 4:31.35 
1 1:31.190001 2:31.34 3:31.059999 4:31.120001 
0 1:31.73 2:31.73 3:31.129999 4:31.27 
0 1:31.58 2:31.60 3:31.379999 4:31.51 
1 1:31.690001 2:31.83 3:31.219999 4:31.459999 
0 1:32.029999 2:32.099998 3:31.65 4:31.65 
0 1:31.83 2:32.119999 3:31.76 4:31.98 
1 1:31.92 2:31.959999 3:31.76 4:31.870001 
0 1:32.049999 2:32.150002 3:31.85 4:31.959999 
1 1:31.75 2:31.959999 3:31.68 4:31.879999 
0 1:32.150002 2:32.310001 3:31.969999 4:32.009998 
0 1:32.110001 2:32.25 3:31.98 4:32.240002 
1 1:32.740002 2:32.77 3:31.98 4:32.080002 
0 1:32.709999 2:32.75 3:32.369999 4:32.459999 
0 1:32.919998 2:33.029999 3:32.619999 4:32.73 
1 1:32.220001 2:32.599998 3:32.18 4:32.48 
